iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
190,4.0068333333333336E7,4.2416666666666664E7,4.3918333333333336E7,4.566E7,4.5283333333333336E7,4.3383333333333336E7,5.9193333333333336E7
191,3.9781666666666664E7,4.2198333333333336E7,4.3986666666666664E7,4.4876666666666664E7,4.5413333333333336E7,4.254E7,5.9193333333333336E7
192,3.9798333333333336E7,4.1556666666666664E7,4.54E7,4.6823333333333336E7,4.6175E7,4.2096666666666664E7,5.9193333333333336E7
193,4.0861666666666664E7,4.2013333333333336E7,4.3651666666666664E7,4.3666666666666664E7,4.3295E7,4.1708333333333336E7,5.9193333333333336E7
194,4.054E7,4.1218333333333336E7,4.2406666666666664E7,4.5961666666666664E7,4.692E7,4.183E7,5.9193333333333336E7
195,4.029E7,4.2081666666666664E7,4.2333333333333336E7,4.55E7,4.4975E7,4.0878333333333336E7,5.9193333333333336E7
196,3.997E7,4.1573333333333336E7,4.3815E7,4.4478333333333336E7,4.4578333333333336E7,4.181E7,5.9193333333333336E7
197,3.973E7,4.2066666666666664E7,4.234E7,4.4053333333333336E7,4.5296666666666664E7,4.066E7,5.9193333333333336E7
198,4.0191666666666664E7,4.1373333333333336E7,4.22E7,4.3903333333333336E7,4.2528333333333336E7,4.1438333333333336E7,5.9193333333333336E7
199,3.948E7,4.1203333333333336E7,4.3063333333333336E7,4.3125E7,4.4453333333333336E7,4.0308333333333336E7,5.9193333333333336E7
200,3.9733333333333336E7,4.1866666666666664E7,4.2868333333333336E7,4.4355E7,4.2006666666666664E7,3.9638333333333336E7,5.9193333333333336E7
201,4.0053333333333336E7,4.1236666666666664E7,4.2775E7,4.4468333333333336E7,4.3215E7,3.9655E7,5.9193333333333336E7
202,3.916E7,4.176E7,4.2505E7,4.2235E7,4.6528333333333336E7,3.8935E7,5.9193333333333336E7
203,3.916E7,4.0263333333333336E7,4.0546666666666664E7,4.339E7,4.3153333333333336E7,3.8861666666666664E7,5.9193333333333336E7
