iteration,DAGWO_r0.1,DAGWO_r0.2,DAGWO_r0.3,DAGWO_r0.4,DAGWO_r0.5,GWO,DA
100,2.4390853333333334E8,3.046308666666667E8,2.4390846666666666E8,2.4681373333333334E8,2.5067833333333334E8,2.573772E8,2.226542E8
101,2.3812173333333334E8,2.36782E8,2.43862E8,2.4751033333333334E8,2.4970326666666666E8,2.5668646666666666E8,2.226542E8
102,4.164187333333333E8,3.11638E8,2.988176E8,2.4724313333333334E8,2.4944286666666666E8,2.5428133333333334E8,2.226542E8
103,2.2933033333333334E8,2.3366173333333334E8,2.4027033333333334E8,2.422408E8,2.4718186666666666E8,2.5814953333333334E8,2.226542E8
104,2.707691333333333E8,2.2840393333333334E8,2.433948E8,2.4401546666666666E8,2.4207666666666666E8,2.5782186666666666E8,2.226542E8
105,3.8612460101330173E8,2.32187E8,2.4111146666666666E8,2.490506E8,2.4228226666666666E8,2.550894E8,2.226542E8
106,2.287478E8,3.07143E8,2.936386666666667E8,2.448942E8,2.4180213333333334E8,2.5298093333333334E8,2.226542E8
107,2.376456E8,2.3235733333333334E8,2.4182673333333334E8,2.5050513333333334E8,2.4354233333333334E8,2.552304E8,2.226542E8
108,2.927392666666667E8,2.3433933333333334E8,2.356342E8,2.4642773333333334E8,2.4562646666666666E8,2.6034686666666666E8,2.226542E8
109,2.280828E8,2.2925166666666666E8,2.3987926666666666E8,2.4532893333333334E8,2.4787646666666666E8,2.5571966666666666E8,2.2249293333333334E8
110,2.2703006666666666E8,2.3354313333333334E8,2.864244E8,2.3949473333333334E8,2.467642E8,2.52238E8,2.2249293333333334E8
111,2.2725E8,2.2463713333333334E8,2.3968266666666666E8,2.4171666666666666E8,2.4365026666666666E8,2.5419893333333334E8,2.2249293333333334E8
112,2.2221233333333334E8,2.2883393333333334E8,2.3098993333333334E8,2.3686106666666666E8,2.4193206666666666E8,2.5225933333333334E8,2.2248473333333334E8
113,2.3120353333333334E8,3.341315333333333E8,2.3191526666666666E8,2.3694433333333334E8,2.4395033333333334E8,2.5418826666666666E8,2.2247493333333334E8
114,2.2651773333333334E8,2.214562E8,2.3423206666666666E8,2.413942E8,2.4204433333333334E8,2.5805666666666666E8,2.223594E8
115,2.240638E8,2.295214E8,2.3626766666666666E8,2.414966E8,2.4328773333333334E8,2.5984126666666666E8,2.2218733333333334E8
116,2.2440846666666666E8,2.2403546666666666E8,2.348152E8,2.2942513333333334E8,2.3945433333333334E8,2.5469066666666666E8,2.2158886666666666E8
117,2.2330426666666666E8,2.2166606666666666E8,2.29846E8,2.417432E8,2.418892E8,2.5536773333333334E8,2.2139853333333334E8
118,2.2103733333333334E8,2.2511913333333334E8,2.3174926666666666E8,2.38403E8,2.333508E8,2.557952E8,2.213724E8
119,2.150442E8,2.2309766666666666E8,2.2896673333333334E8,2.3836573333333334E8,2.4102486666666666E8,2.558196E8,2.2101E8
120,2.1674546666666666E8,2.2436546666666666E8,2.2194406666666666E8,2.3641693333333334E8,2.438228E8,2.555594E8,2.198862E8
121,2.1521906666666666E8,2.265378E8,2.234092E8,2.311956E8,2.3822333333333334E8,2.501432E8,2.1618913333333334E8
122,2.1795273333333334E8,2.1536626666666666E8,2.2767593333333334E8,2.3038666666666666E8,2.400734E8,2.4761513333333334E8,2.1426486666666666E8
123,2.1716946666666666E8,2.2097286666666666E8,2.2735086666666666E8,2.455824E8,2.965506E8,2.507436E8,2.1187833333333334E8
124,2.1816813333333334E8,2.888609333333333E8,2.267222E8,2.3166953333333334E8,2.388586E8,2.5522386666666666E8,2.1025566666666666E8
125,2.1895973333333334E8,2.140806E8,2.72929E8,2.339E8,2.3711213333333334E8,2.5340773333333334E8,2.1025566666666666E8
126,2.65658E8,2.1625E8,2.209494E8,2.28032E8,2.3793E8,2.544296E8,2.1014966666666666E8
127,2.1357013333333334E8,2.165854E8,2.2310086666666666E8,2.310478E8,2.43662E8,2.5259566666666666E8,2.0984193333333334E8
128,2.1377806666666666E8,2.2208733333333334E8,2.1745893333333334E8,2.3554306666666666E8,2.413454E8,2.514034E8,2.0979466666666666E8
129,2.1444413333333334E8,2.2138993333333334E8,2.895642666666667E8,2.3561193333333334E8,2.3810986666666666E8,2.5505753333333334E8,2.0951706666666666E8
130,2.142462E8,2.184062E8,2.2159846666666666E8,2.362772E8,2.3272793333333334E8,2.4891433333333334E8,2.0928706666666666E8
